,0,1,2,3,4,5,6,7,8,9,10,11
13,yeaN,yliH,rtcB,rspB,recO,dnaG,mioC,yehC,ydfJ,ybiR,ynhG,ydiK
14,JW0952,JW1948,JW3650,JW2505,JW2564,JW3284,JW3784,JW2333,JW1553,JW1096,JW1671,JW0261
15,yccK,yedS,yidF,sseA,ung,pioO,xerC,yfcS,rem,ycfJ,sufD,yagE
0,JW0262,JW1511,JW0450,JW1961,JW2056,JW2359,JW1568,JW2284,JW0859,JW2918,JW3390,JW3872
1,yagF,lsrG,ybaJ,yeeL,yegJ,yfdS,ydfE,lrhA,aqpZ,yggS,yzgL,yiiL
2,JW2162,JW1954,JW0487,JW1985,JW2057,JW2374,JW1591,JW2573,JW2343,JW2971,JW3480,JW3971
3,yeiU,yedY,ybbC,yeeT,yegK,yfdY,mdtI,clpB,vacJ,yqhA,gadE,yjaA
4,JW0533,JW1773,JW0620,JW1986,JW2098,JW2399,JW1813,JW0063,JW2817,JW3117,JW3483,JW3980
5,ybcL,yeaH,ybeH,yeeU,yehD,yfeN,yobF,araC,yqeK,yraN,gadW,yjbB
6,JW1229,JW2134,JW0774,JW1987,JW2157,JW2490,JW0718,JW0719,JW2831,JW3178,JW3492,JW4272
7,ychE,yeiA,ybhQ,yeeV,setB,yfgI,sucD,mngR,ygeP,yhcC,yhjG,yjhS
8,JW0320,JW0134,JW0899,JW2016,JW2291,JW2607,JW1095,JW2779,JW2400,JW3221,JW3548,JW4295
9,yahN,yadM,ycaQ,wbbL,yfbU,yfjJ,ndh,gcvA,yfeR,yhdA,yiaL,yjiJ
10,JW0265,JW0258,JW1135,JW2017,JW2331,JW5921,JW0799,JW3876,JW2845,JW3337,JW3565,JW4310
11,yagI,ykgN,ymfN,wbbK,yfcQ,yfjS,ompX,rhaS,ygfJ,frlD,yibF,yjiW
12,JW0280,JW0362,JW1665,JW2019,JW2344,JW2626,JW1125,JW3698,JW2848,JW3340,JW3572,JW4319
13,yagT,yaiT,ydhZ,wbbI,yfdC,yfjZ,lit,bglH,ygfM,yhfT,yibI,yjiZ
14,JW1676,JW0383,JW1955,JW2055,JW2356,JW1151,JW1531,JW0784,JW2907,JW3373,JW3774,JW0001
15,ydiI,ykiA,yedZ,yegI,yfdP,ycgZ,dcp,dinG,yqgC,yhgG,hemY,thrA
